,question,category
0,What happened after sniper attacks?,
1,What event began before two dozen people were slightly hurt?,begin
2,What happened after the forum opened?,
3,What event will begin?,begin
4,What happened after the rally began?,begin
5,What could happen after the downgrading?,uncertain
6,What event will not happen if the scheme is broadened?,"hypo,neg"
7,"What is expected to happen to global demand in 1997, after the boom years of the 1990s?",opinion
8,What will happen after Jilek help Zimbabwe's travel agencies?,
9,What happened before he was asked to name a reason to elect him?,
10,What happened after the Ling said but has not finished?,"restrict participants,composition"
11,What will end after he is elected?,end
12,What happened since the rise in production?,
13,What occured before the decision to dispatch the mission?,
14,What happened after the UN made a statement?,
15,What might take place after the crackdown?,uncertain
16,What happened before Bush gave four key speeches?,
17,What started before Mr. Fournier was prohibited from organizing his own defense?,begin
18,What will happen as a result of the November 1995 accord?,restrict causality
19,What happened after the quarantine was lifted?,
20,What happened after Mathew Sinclair replaced McCullum?,
21,What do the Kinshasa authorities hope would occur after Tshipaka was captured?,opinion
22,What will happen after the negotiations end?,end
23,What happened while the charges were being pressed?,
24,What happened after the crackdown?,
25,What will happen after something rose?,
26,What started after the communique made an announcement?,begin
27,What happened after Annette Nicholls went missing?,
28,What will likely occur after the deregulation?,uncertain
29,What happened after the assistance from the US government?,
30,What will have happened before the upturn?,
31,What happened before something was predicted?,
32,What events were occurring during the competition?,overlap
33,What happened after the fourth wicket stand?,
34,What happened after Nalbandian was ranked?,
35,What  occured before the cooperation began among the FBI agents and police?,begin
36,What event will happen if the scheme is broadened?,hypo
37,What happened before an event was established in 2001?,
38,What happened before the ordination?,
39,What happened after the earthquake?,
40,What happened before the injured were treated?,
41,What happened before Murdock reports?,
42,Why did Australia contribute troops before the ousting of Saddam?,why
43,What will happen after the earnings fall?,
44,What happened after magnified?,
45,What happened after the schedule?,
46,What happened before the doomed Irish nationalist rebellion?,
47,What has not taking place before the official figures show?,neg
48,What may happen after regulatory authorities are persuaded?,uncertain
49,What is happening after ICJ commented on the crackdown?,
50,What had started before the EU and some European countries began preparing for EU membership?,begin
51,What began before the raid in Pakistan's South Waziristan tribal region?,begin
52,What happened as the price of Columbia shares was being cut?,overlap
53,What happened during the decision by the Peruvian Congress?,overlap
54,What happened before authorities found stickers?,
55,What might happen after the vote?,uncertain
56,What happened after Al-Arabiya reported?,
57,What will happen after many sacrifice their lives?,
58,What happened while a bodyguard was killed?,overlap
59,What occurred before the Taliban fighter commander made a statement?,
60,What happened while Hussey was bowled for the third time in the series?,overlap
61,What will happen after two hostages were seriously injured?,
62,What has begun before Chinese Taipei plays the final?,begin
63,What will occur before Pharrell Williams appears?,
64,What happened before Tueni returned from France?,
65,What started happening before the member was arrested?,begin
66,What happened before the estimate was made?,
67,What happened before Khartoum rejected a plan?,
68,What will happen before the takeover battle?,
69,What occurred before the scientists descended?,
70,What did Rayan stop doing before saying that the Hamas movement had agreed with Abbas?,"restrict participants,neg"
71,What did Australia do with troops before the ousting of Saddam?,restrict participants
72,What happened before the civil war almost happened?,
73,What was still happening after Rahman hailed the decision?,overlap
74,What has happened before the transition?,
75,What did Morales want to happen after Washington had a program to eradicate coca?,"intention,restrict participants"
76,What is happening after the ceremony?,
77,What will happen after Chile takes part?,
78,What would start after the Heilongjiang provincial government's conference?,begin
79,What happened after Europe's approach to Tehran was made public?,
80,What started before someone said?,begin
81,What was happening during the last two years?,overlap
82,What was happening while Sterling was at 2.7492 marks from 2.7544?,overlap
83,What happened after the firemen used sledgehammers?,
84,What happened after the third successive fall?,
85,What happened after the Ling said?,
86,What happened before something was proposed?,
87,What does the service provider do to make money when companies carry out business via the data centre?,"restrict participants,overlap"
88,What might happen before big countries could not be expected?,"uncertain,opinion,neg"
89,What began after the raid in Pakistan's South Waziristan tribal region?,begin
90,What happened after he said?,
91,What started after the attacks?,begin
92,What could have been happening prior to 2001?,uncertain
93,What happened after German investigators found traces of polonium?,
94,What did Hass do before he went to work as a spy?,restrict participants
95,What is happening after a sharp price move?,
96,What started before the assassination?,begin
97,What might happen after the victories?,uncertain
98,What happened before the meeting?,
99,What began before the Doha round?,begin
100,What might happen after the FTSE 100 index was quoted 9.6 points lower?,uncertain
101,What do top executives intend to do to rewards after the increase in sales during the latest quarter?,"restrict participants,intention,overlap"
102,What happened before something fell?,"uncertain,neg"
103,What will probably not happen in the future?,
104,What happened after Washington's defense alliances?,
105,What may happen after Blair's warning?,uncertain
106,What started before Bezhuashvili said relations were not normal?,"begin,neg"
107,What started before the reference was dropped?,begin
108,What happened after the INEC said in an official statement?,
